oid,osm_id,highway,access,start_date,active_years,abandoned_date,abandoned,surface
41388,590603529,residential,,,,,,
41389,590603530,residential,,,,,,
41390,590603531,residential,,,,,,
41391,590603532,track,,,,,,
41392,590603533,residential,,,,,,
41393,590603534,residential,,,,,,
41394,590603535,residential,,,,,,
41395,590603536,residential,,,,,,
41396,590603537,residential,,,,,,
41397,590603538,residential,,,,,,
41398,590608654,residential,,,,,,
41399,590608656,residential,,,,,,
41400,590614535,unclassified,,,,,,unpaved
41401,590614536,residential,,,,,,
41402,590614537,residential,,,,,,
41403,590614538,unclassified,,,,,,unpaved
41404,590690214,unclassified,,,,,,
41405,590880205,track,,,,,,
41406,590880207,residential,,,,,,
41407,590880209,track,,,,,,
41408,590880212,unclassified,,,,,,
41409,591060925,track,,,,,,
41410,591060928,track,,,,,,
41411,591060931,track,,,,,,
41412,591066694,unclassified,,,,,,
41413,591066695,unclassified,,,,,,
41414,591066696,unclassified,,,,,,
41415,591066697,path,,,,,,
41416,591066698,path,,,,,,
41417,591066699,path,,,,,,
41418,591072166,residential,,,,,,
41419,591072167,residential,,,,,,
41420,591072168,residential,,,,,,
41421,591072169,residential,,,,,,
41422,591072170,residential,,,,,,
41423,591072172,path,,,,,,
41424,591072223,track,,,,,,
41425,591084419,unclassified,,,,,,
41426,591084422,unclassified,,,,,,
41427,591107476,unclassified,,,,,,unpaved
41428,591107477,residential,,,,,,
41429,591107478,residential,,,,,,
41430,591107479,residential,,,,,,
41431,591107480,residential,,,,,,
41432,591107481,residential,,,,,,
41433,591107482,residential,,,,,,
41434,591107483,residential,,,,,,
41435,591107484,residential,,,,,,
41436,591107485,residential,,,,,,
41437,591107486,residential,,,,,,
41438,591107487,residential,,,,,,
41439,591107490,tertiary,,,,,,unpaved
41440,591107491,unclassified,,,,,,unpaved
41441,591112531,track,,,,,,
41442,591128815,path,,,,,,
41443,591128816,path,,,,,,
41444,591128818,unclassified,,,,,,
41445,591138850,path,,,,,,
41446,591170427,track,,,,,,
41447,591172711,track,,,,,,
41448,591172712,track,,,,,,
41449,591172760,track,,,,,,
41450,591197181,path,,,,,,
41451,591305809,unclassified,,,,,,unpaved
41452,591305810,unclassified,,,,,,unpaved
41453,591335098,residential,,,,,,
41454,591335129,residential,,,,,,
41455,591335135,residential,,,,,,
41456,591346170,unclassified,,,,,,
41457,591407464,tertiary,,,,,,unpaved
41458,591417616,unclassified,,,,,,unpaved
41459,591484509,residential,,,,,,
41460,591484510,residential,,,,,,
41461,591484512,residential,,,,,,
41462,591484516,residential,,,,,,
41463,591484518,residential,,,,,,
41464,591595896,service,,,,,,
41465,591595897,service,,,,,,
41466,591595898,service,,,,,,
41467,591595904,service,,,,,,
41468,591595905,service,,,,,,
41469,591595906,service,,,,,,
41470,591595913,service,,,,,,
41471,591595914,service,,,,,,
41472,591595915,service,,,,,,
41473,591595916,service,,,,,,
41474,591595917,service,,,,,,
41475,591595990,footway,,,,,,
41476,591595992,footway,,,,,,
41477,591595993,footway,,,,,,
41478,591595995,footway,,,,,,
41479,591595997,footway,,,,,,
41480,591595999,steps,,,,,,
41481,591596001,footway,,,,,,
41482,591596003,steps,,,,,,
41483,591596005,footway,,,,,,
41484,591596007,footway,,,,,,
41485,591596009,footway,,,,,,
41486,591596011,footway,,,,,,
41487,591596013,steps,,,,,,
41488,591596015,steps,,,,,,
41489,591596017,footway,,,,,,
41490,591596019,footway,,,,,,
41491,591596021,footway,,,,,,
41492,591596022,footway,,,,,,
41493,591596024,footway,,,,,,
41494,591596026,footway,,,,,,
41495,591596027,footway,,,,,,
41496,591600234,service,,,,,,
41497,591600240,service,,,,,,
41498,591600242,service,,,,,,
41499,591600244,service,,,,,,
41500,591600246,service,,,,,,
41501,591612722,residential,,,,,,
41502,591616933,tertiary,yes,2014,,,,unpaved
41503,591616934,unclassified,yes,2014,,,,unpaved
41504,591616935,track,forestry,2006,,,,
41505,591719509,unclassified,,,,,,unpaved
41506,591719510,unclassified,,,,,,unpaved
41507,591719511,tertiary,,,,,,unpaved
41508,591719515,unclassified,,,,,,unpaved
41509,591719517,unclassified,,,,,,unpaved
41510,591819327,residential,,,,,,
41511,591819329,residential,,,,,,
41512,591819331,residential,,,,,,
41513,591819334,unclassified,,,,,,
41514,591819337,residential,,,,,,
41515,591819341,residential,,,,,,
41516,591819343,residential,,,,,,
41517,591819346,unclassified,,,,,,
41518,591819353,residential,,,,,,
41519,591819357,unclassified,,,,,,
41520,591819361,residential,,,,,,
41521,592187556,unclassified,,,,,,
41522,592187566,residential,,,,,,
41523,592187568,residential,,,,,,
41524,592187570,unclassified,,,,,,unpaved
41525,592187583,unclassified,,,,,,unpaved
41526,592187595,unclassified,,,,,,unpaved
41527,592187596,unclassified,,,,,,unpaved
41528,592187600,unclassified,,,,,,unpaved
41529,592187603,unclassified,,,,,,unpaved
41530,592187606,unclassified,,,,,,unpaved
41531,592187607,unclassified,,,,,,unpaved
41532,592187610,unclassified,,,,,,unpaved
