X,Y,objectid,type_,desc_type,nom_lieu,pop_2005
16.081319669000038,-3.559116519999975,2086,1210100,Autre localité,Kounzoulou,
15.980073910000044,-3.749938,2087,1210100,Autre localité,Libanga,
16.195265187000075,-3.332544369999937,2088,1210100,Autre localité,Mafamba,
15.818892601000073,-3.216489799999977,2090,1210100,Autre localité,Massabi,
15.966289370000027,-3.764574229999937,2092,1210100,Autre localité,Mayi pili,
15.609185763000028,-3.391071929999953,2093,1210100,Autre localité,Mayo,
16.159298028000023,-2.947669419999954,2095,1210100,Autre localité,Mboka Léfini,
16.166885157000024,-2.977657099999931,2096,1210100,Autre localité,Mboka Sérieux,
15.627916633000041,-2.916445659999965,2097,1210100,Autre localité,Mbouambé Léfini,
15.884147391000056,-3.523693669999943,2098,1210100,Autre localité,Mboulou,
